wikidata_id	word	category
Q15079569	Russenkaninchen	Animal
Q4412725	Reitponys	Animal
Q5317450	Tuigpaard	Animal
Q7969488	Warlander	Animal
Q139939	Zackelschaf	Animal
Q220213	Kamerunschaf	Animal
Q314363	Heidschnucke	Animal
Q328230	Karakulschaf	Animal
Q386396	Islandschaf	Animal
Q486745	Jakobschaf	Animal
Q494612	Texelschaf	Animal
Q502330	Soayschaf	Animal
Q600555	Merinolandschaf	Animal
Q651765	Merinoschaf	Animal
Q787795	Suffolk-Schaf	Animal
Q877308	Moorschnucke	Animal
Q1250393	Dorperschaf	Animal
Q1250480	Dorset-Fleischschaf	Animal
Q1334515	Merinofleischschaf	Animal
Q1433736	Guteschaf	Animal
Q1469688	Ouessantschaf	Animal
Q1518786	Somaliaschaf	Animal
Q1815314	Leineschaf	Animal
Q1921735	Merinolangwollschaf	Animal
Q2148444	Rhönschaf	Animal
Q2280268	Shropshire-Schaf	Animal
Q2293037	Skudde	Animal
Q2512371	Zwartbles	Animal
Q2582366	Romanow-Schaf	Animal
Q2860715	Voskop	Animal
Q2895137	Beltex	Animal
Q2998019	Corse	Animal
Q1196071	Collie	Animal
Q1318864	Kuhhund	Animal
Q1398538	Gråhund	Animal
Q1485154	Steinbracke	Animal
Q1499225	Gelbbacke	Animal
Q1513816	Schwarzer	Animal
Q1742290	Kintamani	Animal
Q1821832	Levesque	Animal
Q2222597	Sanshu	Animal
Q2356500	Strobel	Animal
Q2432776	Tiger	Animal
Q5408020	Mittelspitz	Animal
Q5408020	Mittelspitz	
Q5758089	Catalburun	Animal
Q16988902	Pusterese	Animal
Q19798485	Hissarschaf	Animal
Q698502	Arouquesa	Animal
Q737173	Hereford-Rind	Animal
Q745204	Santa-Gertrudis-Rind	Animal
Q758501	Aubrac-Rind	Animal
Q771925	Aulije-Ata-Rind	Animal
Q793281	Ayrshire-Rind	Animal
Q830667	Bestuschew-Rind	Animal
Q859941	Tswana-Rind	Animal
Q890780	Guernsey-Rind	Animal
Q935155	Galloway	Animal
Q947963	Pinzgauer	Animal
Q986944	Fjäll-Rind	Animal
Q987965	Jersey-Rind	Animal
Q991030	Brown-Swiss	Animal
Q998680	Buschujew-Rind	Animal
Q1018420	Buša	Animal
Q1025029	Cachena-Rind	Animal
Q1028648	Gulya	Animal
Q1032898	Canchim-Rind	Animal
Q1071628	Chianina	Animal
Q1132722	Pyrenäenrind	Animal
Q1207227	Dexter-Rind	Animal
Q1207227	Dexter-Rind	
Q1208989	Fleischrind	Animal
Q1365100	Kalmücken-Rind	Animal
Q1422464	Gelbvieh	
Q1422464	Gelbvieh	Animal
Q1464021	Watussirind	Animal
Q1465038	Montbéliard	Animal
Q1471935	Telemark	Animal
Q1479137	Senepol-Rind	Animal
Q1479185	Sayaguesa	Animal
Q1486834	Gloucester-Rind	Animal
Q1486834	Gloucester-Rind	
Q1518523	Hinterwälder-Rind	
Q1518523	Hinterwälder-Rind	Animal
Q1650441	Karpaten-Braunvieh	Animal
Q1679085	Pajuna	Animal
Q1720712	Luing	Animal
Q1724379	Shorthorn-Rind	Animal
Q1733384	Limpurger	
Q1733384	Limpurger	Animal
Q1737090	Kaukasus-Braunvieh	Animal
Q1753138	Salers-Rind	Animal
Q1757956	Wagyū	Animal
Q1765592	Romagnola	Animal
Q11744800	Danubier	Animal
Q15074171	Međimurje-Pferd	Animal
Q18562203	Welsh-Mountain-Pony	Animal
Q3133971	Herdwick	Animal
Q3180811	Lincolnschaf	Animal
Q3443216	Rotkopfschaf	Animal
Q4930296	Bluefaced-Leicester-Schaf	Animal
Q5005293	Graubünden	Animal
Q10351150	Pomsky	Animal
Q1774562	Alatau-Rind	Animal
Q1782942	Nelore-Rind	Animal
Q1803779	Islandrind	Animal
Q1902364	Maronesa	Animal
Q2130595	Randall-Rind	Animal
Q2218813	Sahiwal	Animal
Q2366573	Brangus	
Q2366573	Brangus	Animal
Q2424850	Marchigiana	Animal
Q2459457	Tuli-Rind	Animal
Q2483044	Dahomey-Zwergrind	Animal
Q2530205	Vogesenrind	Animal
Q2533833	Vorderwälder-Rind	Animal
Q2949812	Limia-Rind	Animal
Q2956118	Channi	Animal
Q3127441	Hariana	Animal
Q3141195	N’Dama	Animal
Q3155755	Boškarin	Animal
Q96756732	Chamarita	Animal
Q5175498	Cotswold-Schaf	Animal
Q5401624	Ruhnuschaf	Animal
Q7159168	Bapedi	Animal
Q7231862	Portland-Schaf	Animal
Q7385011	Ryeland-Schaf	Animal
Q7982965	Wensleydale	Animal
Q10500346	Waldschaf	Animal
Q3315893	Mirandesa	Animal
Q3324619	Morucha	Animal
Q3366121	Parthenaise	Animal
Q3393110	Podolica	Animal
Q3417550	Rahaji	Animal
Q3428105	Retinto-Rind	Animal
Q3575201	Zenga	Animal
Q4537263	Jakuten-Rind	Animal
Q4673062	Aceh	Animal
Q4863831	Barrosã	Animal
Q5260027	Deoni	Animal
Q11883725	Mâtin	Animal
